00:08.292  render           | Video append frame 154
00:08.292  render           | Time: 00:00.04 (Saving: 00:00.00)
00:08.292  render           | Rendering frame 155
00:08.293  render           | Executing sequencer
00:08.346  render           | Video append frame 155
00:08.346  render           | Time: 00:00.05 (Saving: 00:00.00)
00:08.346  render           | Rendering frame 156
00:08.347  render           | Executing sequencer
00:08.379  render           | Video append frame 156
00:08.379  render           | Time: 00:00.03 (Saving: 00:00.00)
00:08.379  render           | Rendering frame 157
00:08.379  render           | Executing sequencer
00:08.411  render           | Video append frame 157
00:08.411  render           | Time: 00:00.03 (Saving: 00:00.00)
00:08.411  render           | Rendering frame 158
00:08.412  render           | Executing sequencer
00:08.445  render           | Video append frame 158
00:08.446  render           | Time: 00:00.03 (Saving: 00:00.01)
00:08.446  render           | Rendering frame 159
00:08.447  render           | Executing sequencer
00:08.489  render           | Video append frame 159
00:08.490  render           | Time: 00:00.04 (Saving: 00:00.01)
00:08.490  render           | Rendering frame 160
00:08.490  render           | Executing sequencer
00:08.556  render           | Video append frame 160
00:08.556  render           | Time: 00:00.06 (Saving: 00:00.00)
00:08.556  render           | Rendering frame 161
00:08.557  render           | Executing sequencer
00:08.608  render           | Video append frame 161
00:08.608  render           | Time: 00:00.05 (Saving: 00:00.00)
00:08.608  render           | Rendering frame 162
00:08.609  render           | Executing sequencer
00:08.649  render           | Video append frame 162
00:08.649  render           | Time: 00:00.04 (Saving: 00:00.00)
00:08.649  render           | Rendering frame 163
00:08.650  render           | Executing sequencer
00:08.699  render           | Video append frame 163
00:08.699  render           | Time: 00:00.04 (Saving: 00:00.00)
00:08.699  render           | Rendering frame 164
00:08.700  render           | Executing sequencer
00:08.739  render           | Video append frame 164
00:08.739  render           | Time: 00:00.03 (Saving: 00:00.00)
00:08.739  render           | Rendering frame 165
00:08.740  render           | Executing sequencer
00:08.772  render           | Video append frame 165
00:08.772  render           | Time: 00:00.03 (Saving: 00:00.00)
00:08.772  render           | Rendering frame 166
