00:19.583  render           | Engine: EEVEE
00:19.655  render           | Fra: 49 | Rendering 1 / 16 samples
00:19.685  render           | Fra: 49 | Rendering 16 / 16 samples
00:20.026  render           | Video append frame 49
00:20.026  render           | Time: 00:00.44 (Saving: 00:00.01)
00:20.026  render           | Rendering frame 50
00:20.026  render           | Executing sequencer
00:20.028  render           | Rendering frame 50
00:20.028  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:20.028  render           | Engine: EEVEE
00:20.095  render           | Fra: 50 | Rendering 1 / 16 samples
00:20.121  render           | Fra: 50 | Rendering 16 / 16 samples
00:20.460  render           | Video append frame 50
00:20.460  render           | Time: 00:00.43 (Saving: 00:00.02)
00:20.460  render           | Rendering frame 51
00:20.461  render           | Executing sequencer
00:20.461  render           | Rendering frame 51
00:20.462  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:20.462  render           | Engine: EEVEE
00:20.529  render           | Fra: 51 | Rendering 1 / 16 samples
00:20.559  render           | Fra: 51 | Rendering 16 / 16 samples
00:20.892  render           | Video append frame 51
00:20.893  render           | Time: 00:00.43 (Saving: 00:00.02)
00:20.893  render           | Rendering frame 52
00:20.893  render           | Executing sequencer
00:20.893  render           | Rendering frame 52
00:20.893  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:20.893  render           | Engine: EEVEE
00:20.971  render           | Fra: 52 | Rendering 1 / 16 samples
00:21.001  render           | Fra: 52 | Rendering 16 / 16 samples
00:21.338  render           | Video append frame 52
00:21.338  render           | Time: 00:00.44 (Saving: 00:00.01)
00:21.338  render           | Rendering frame 53
00:21.339  render           | Executing sequencer
00:21.339  render           | Rendering frame 53
00:21.339  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:21.339  render           | Engine: EEVEE
00:21.393  render           | Fra: 53 | Rendering 1 / 16 samples
00:21.419  render           | Fra: 53 | Rendering 16 / 16 samples
00:21.728  render           | Video append frame 53
00:21.728  render           | Time: 00:00.38 (Saving: 00:00.01)
00:21.728  render           | Rendering frame 54
00:21.729  render           | Executing sequencer
00:21.729  render           | Rendering frame 54
00:21.729  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:21.729  render           | Engine: EEVEE
00:21.788  render           | Fra: 54 | Rendering 1 / 16 samples
00:21.812  render           | Fra: 54 | Rendering 16 / 16 samples
00:22.109  render           | Video append frame 54
00:22.109  render           | Time: 00:00.38 (Saving: 00:00.01)
00:22.109  render           | Rendering frame 55
00:22.109  render           | Executing sequencer
00:22.109  render           | Rendering frame 55
00:22.110  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:22.110  render           | Engine: EEVEE
00:22.170  render           | Fra: 55 | Rendering 1 / 16 samples
00:22.198  render           | Fra: 55 | Rendering 16 / 16 samples
00:22.483  render           | Video append frame 55
00:22.483  render           | Time: 00:00.37 (Saving: 00:00.01)
00:22.483  render           | Rendering frame 56
00:22.483  render           | Executing sequencer
00:22.483  render           | Rendering frame 56
00:22.483  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:22.483  render           | Engine: EEVEE
00:22.537  render           | Fra: 56 | Rendering 1 / 16 samples
00:22.563  render           | Fra: 56 | Rendering 16 / 16 samples
00:22.867  render           | Video append frame 56
00:22.867  render           | Time: 00:00.38 (Saving: 00:00.01)
00:22.867  render           | Rendering frame 57
00:22.868  render           | Executing sequencer
00:22.868  render           | Rendering frame 57
00:22.869  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:22.869  render           | Engine: EEVEE
00:22.933  render           | Fra: 57 | Rendering 1 / 16 samples
00:22.963  render           | Fra: 57 | Rendering 16 / 16 samples
00:23.262  render           | Video append frame 57
00:23.262  render           | Time: 00:00.39 (Saving: 00:00.01)
00:23.262  render           | Rendering frame 58
00:23.262  render           | Executing sequencer
00:23.262  render           | Rendering frame 58
00:23.263  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:23.263  render           | Engine: EEVEE
00:23.327  render           | Fra: 58 | Rendering 1 / 16 samples
00:23.353  render           | Fra: 58 | Rendering 16 / 16 samples
00:23.678  render           | Video append frame 58
00:23.678  render           | Time: 00:00.41 (Saving: 00:00.01)
00:23.678  render           | Rendering frame 59
00:23.678  render           | Executing sequencer
00:23.678  render           | Rendering frame 59
00:23.679  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:23.679  render           | Engine: EEVEE
00:23.737  render           | Fra: 59 | Rendering 1 / 16 samples
00:23.763  render           | Fra: 59 | Rendering 16 / 16 samples
00:24.089  render           | Video append frame 59
00:24.089  render           | Time: 00:00.41 (Saving: 00:00.01)
00:24.090  render           | Rendering frame 60
00:24.090  render           | Executing sequencer
00:24.090  render           | Rendering frame 60
00:24.090  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:24.090  render           | Engine: EEVEE
00:24.149  render           | Fra: 60 | Rendering 1 / 16 samples
00:24.176  render           | Fra: 60 | Rendering 16 / 16 samples
00:24.529  render           | Video append frame 60
00:24.529  render           | Time: 00:00.43 (Saving: 00:00.03)
00:24.530  render           | Rendering frame 61
